,Code_postal,revenu_fiscal_moyen
246,5470.0,17196.051470588234
247,5480.0,22409.821428571428
248,5500.0,23283.33721328312
249,5560.0,23022.405405405407
250,5600.0,23117.83813559322
251,5700.0,19793.928921568626
252,5800.0,19924.399339933992
253,6000.0,25339.079252265794
254,6100.0,25339.079252265794
255,6110.0,24820.800689974036
256,6130.0,26686.085011779538
257,6140.0,31038.353479209174
258,6150.0,26041.96320494513
259,6160.0,27905.35016789533
260,6190.0,30877.65118346483
261,6200.0,25339.079252265794
262,6210.0,28039.276050499342
263,6220.0,26044.026593950297
264,6230.0,37286.320556640625
265,6240.0,27829.00251858959
266,6250.0,38657.71729957806
267,6260.0,19467.749858196254
268,6270.0,32050.47797964425
269,6300.0,25339.079252265794
270,6310.0,29308.120033458803
271,6320.0,37130.845740103265
272,6330.0,48481.225220411434
273,6340.0,24426.230132638026
274,6360.0,43658.379921259846
275,6370.0,35729.85164656016
276,6380.0,23128.351428571426
277,6390.0,26802.62716276221
278,6400.0,26041.96320494513
279,6410.0,41962.55065997397
280,6420.0,22154.74763563962
281,6430.0,17406.623145400594
282,6440.0,25009.175358060966
283,6450.0,20913.5352077001
284,6460.0,26773.806873977086
285,6470.0,19664.62489959839
286,6480.0,38410.81909110676
287,6500.0,25708.87306515085
288,6510.0,26894.13465696874
289,6520.0,26686.085011779538
290,6530.0,32046.97762947646
291,6540.0,18765.939347604486
292,6550.0,34375.9503569111
293,6560.0,37521.97211403645
294,6570.0,44823.11267605634
295,6580.0,28531.302965191233
296,6590.0,32873.63389513108
297,6600.0,27905.35016789533
298,6610.0,37102.130177514795
299,6620.0,27552.45530939649
300,6640.0,35568.3889135255
301,6650.0,44008.663231282204
302,6660.0,23777.755555555555
303,6670.0,30192.88238159016
304,6690.0,29845.143876784372
305,6700.0,27137.914311172713
306,6710.0,20321.806916426514
307,6730.0,24058.837672774025
308,6740.0,37852.46562184024
309,6750.0,19400.858019281335
310,6790.0,40978.14991624791
311,6800.0,27467.133366664584
312,6810.0,32920.89237425636
313,6830.0,25977.257713248644
314,6850.0,18925.703703703704
315,6910.0,18932.29106945976
316,6950.0,47873.08646616541
317,7000.0,23724.1666503284
